id,bit_byte,bit,name
1,0,1,"Absolute Evasion"
2,0,2,"Absolute Readiness"
3,0,3,"Heal Gain"
4,0,4,"Escape Runner"
5,0,5,"Hunter's Oasis"
6,0,6,"Mass Combiner"
7,0,7,"Frenzy Fever"
8,1,0,"Castle Walls"
9,1,1,"Fortress Walls"
10,1,2,"Arisen Phoenix"
11,1,3,"Ground Slash I"
12,1,4,"Ground Slash II"
13,1,5,"Ground Slash III"
14,1,6,"Lion's Maw I"
15,1,7,"Lion's Maw II"
16,2,0,"Lion's Maw III"
17,2,1,"Brimstone Slash I"
18,2,2,"Brimstone Slash II"
19,2,3,"Brimstone Slash III"
20,2,4,"Moonbreaker I"
21,2,5,"Moonbreaker II"
22,2,6,"Moonbreaker III"
23,2,7,"Sword Dance I"
24,3,0,"Sword Dance II"
25,3,1,"Sword Dance III"
26,3,2,"Round Force I"
27,3,3,"Round Force II"
28,3,4,"Round Force III"
29,3,5,"Shoryugeki I"
30,3,6,"Shoryugeki II"
31,3,7,"Shoryugeki III"
32,4,0,"Chaos Oil I"
33,4,1,"Chaos Oil II"
34,4,2,"Chaos Oil III"
35,4,3,"Spinning Meteor I"
36,4,4,"Spinning Meteor II"
37,4,5,"Spinning Meteor III"
38,4,6,"Provoke I"
39,4,7,"Provoke II"
40,5,0,"Provoke III"
41,5,1,"Typhoon Trigger I"
42,5,2,"Typhoon Trigger II"
43,5,3,"Typhoon Trigger III"
44,5,4,"Impact Press I"
45,5,5,"Impact Press II"
46,5,6,"Impact Press III"
47,5,7,"Shield Assault I"
48,6,0,"Shield Assault II"
49,6,1,"Shield Assault III"
50,6,2,"Corkscrew Jab I"
51,6,3,"Corkscrew Jab II"
52,6,4,"Corkscrew Jab III"
53,6,5,"Enraged Guard I"
54,6,6,"Enraged Guard II"
55,6,7,"Enraged Guard III"
56,7,0,"Healing Shield I"
57,7,1,"Healing Shield II"
58,7,2,"Healing Shield III"
59,7,3,"Super Nova I"
60,7,4,"Super Nova II"
61,7,5,"Super Nova III"
62,7,6,"Guns Blazing I"
63,7,7,"Guns Blazing II"
64,8,0,"Guns Blazing III"
65,8,1,"Gunpowder Infusion I"
66,8,2,"Gunpowder Infusion II"
67,8,3,"Gunpowder Infusion III"
68,8,4,"Void Piercer I"
69,8,5,"Void Piercer II"
70,8,6,"Void Piercer III"
83,10,3,"Bullet Geyser I"
84,10,4,"Bullet Geyser II"
85,10,5,"Bullet Geyser III"
86,10,6,"Full House I"
87,10,7,"Full House II"
88,11,0,"Full House III"
89,11,1,"Rapid Fire Rain I"
90,11,2,"Rapid Fire Rain II"
91,11,3,"Rapid Fire Rain III"
92,11,4,"Charge Shot I"
93,11,5,"Charge Shot II"
94,11,6,"Charge Shot III"
95,11,7,"Sakura Slash I"
96,12,0,"Sakura Slash II"
97,12,1,"Sakura Slash III"
98,12,2,"Unhinged Spirit I"
99,12,3,"Unhinged Spirit II"
100,12,4,"Unhinged Spirit III"
101,12,5,"Critical Juncture I"
102,12,6,"Critical Juncture II"
103,12,7,"Critical Juncture III"
104,13,0,"Devouring Demon I"
105,13,1,"Devouring Demon II"
106,13,2,"Devouring Demon III"
107,13,3,"Trance Slash I"
108,13,4,"Trance Slash II"
109,13,5,"Trance Slash III"
110,13,6,"Demon Riot I"
111,13,7,"Demon Riot II"
112,14,0,"Demon Riot III"
113,14,1,"Energy Charge I"
114,14,2,"Energy Charge II"
115,14,3,"Energy Charge III"
