index,byte,bit,quest_id,category,prowler,rank,name,notes
1,0,1,101,Village,no,1,Find the Ferns,
2,0,2,102,Village,no,1,Due for Dragon Amber,
3,0,3,103,Village,no,1,Medicinal Moths,
4,0,4,104,Village,no,1,Horns o' Plenty,
5,0,5,105,Village,no,1,A Fungal Hunt,
6,0,6,106,Village,no,1,Wipe Out!,
7,0,7,107,Village,no,1,Another Pack Attack,
8,1,0,201,Village,no,2,Harvest Tour: Jurassic Frontier,
9,1,1,202,Village,no,2,Harvest Tour: Dunes,
10,1,2,203,Village,no,2,Harvest Tour: Verdant Hills,
11,1,3,204,Village,no,2,Harvest Tour: Arctic Ridge,
12,1,4,205,Village,no,2,Harvest Tour: Misty Peaks,
13,1,5,206,Village,no,2,Vaulting Outlaw,
14,1,6,207,Village,no,2,Rambunctious Rhenoplos,
15,1,7,208,Village,no,2,On the Rebound,
16,2,0,209,Village,no,2,A Berry Good Idea,
17,2,1,210,Village,no,2,A Fern is Forever,
18,2,2,211,Village,no,2,Jurassic Frontier Accounting,
19,2,3,212,Village,no,2,Gendrome Roadblock,
20,2,4,213,Village,no,2,The Land Sharq,
21,2,5,214,Village,no,2,Slay the Genprey!,
22,2,6,215,Village,no,2,Hermit Grab,
23,2,7,216,Village,no,2,Birthday Berries,
24,3,0,217,Village,no,2,Liver of Legend!,
25,3,1,218,Village,no,2,Dunes Accounting,
26,3,2,219,Village,no,2,Hunt Down the Velocidrome!,
27,3,3,220,Village,no,2,Slay the Velociprey!,
28,3,4,221,Village,no,2,Bullfango Tango,
29,3,5,222,Village,no,2,Prime Premium Sashimi,
30,3,6,223,Village,no,2,Verdant Hills Accounting,
31,3,7,224,Village,no,2,The Mountain Roughrider,
32,4,0,225,Village,no,2,Slay the Giaprey!,
33,4,1,226,Village,no,2,A Pack of Blangos,
34,4,2,227,Village,no,2,Medicinal Mountain Herbs,
35,4,3,228,Village,no,2,Arctic Ridge Accounting,
36,4,4,229,Village,no,2,Arzuros the Azure Beast,
37,4,5,230,Village,no,2,Bye Bye Jaggia,
38,4,6,231,Village,no,2,Howling Harassment,
39,4,7,232,Village,no,2,Fungal Fad,
40,5,0,233,Village,no,2,Sunsnug Sprout Courier,
41,5,1,234,Village,no,2,Misty Peaks Accounting,
42,5,2,301,Village,no,3,Harvest Tour: Deserted Island,
43,5,3,302,Village,no,3,Harvest Tour: Marshlands,
44,5,4,303,Village,no,3,Tusked Tantrum,
45,5,5,304,Village,no,3,Stomping Grounds,
46,5,6,305,Village,no,3,Chasing Tail,
47,5,7,306,Village,no,3,Jurassic Treasure: The Frog,
48,6,0,307,Village,no,3,Bit by the Fashion Bug,
49,6,1,308,Village,no,3,Tumultuous Sprouts,
50,6,2,309,Village,no,3,Tumultuous Sprouts,
51,6,3,310,Village,no,3,Fishy Favor,
52,6,4,311,Village,no,3,Crustacean Frustration,
53,6,5,312,Village,no,3,The Desert Gourmand,
54,6,6,313,Village,no,3,Konchu Collector,
55,6,7,314,Village,no,3,Cancer of the Dunes,
56,7,0,315,Village,no,3,Deliver the Liver,
57,7,1,316,Village,no,3,Farming Frustrations,
58,7,2,317,Village,no,3,Financial Focus on Fungus,
59,7,3,318,Village,no,3,Local Threat,
60,7,4,319,Village,no,3,Into the Wyvern's Den,
61,7,5,320,Village,no,3,Into the Wyvern's Den,
62,7,6,321,Village,no,3,Snow with Occasional Lagombi,
63,7,7,322,Village,no,3,Anteka Anticipation,
64,8,0,323,Village,no,3,The Shadow in the Mountains,
65,8,1,324,Village,no,3,No Go on the Popo,
66,8,2,325,Village,no,3,No Go on the Popo,
67,8,3,326,Village,no,3,Bully the Bullfango,
68,8,4,327,Village,no,3,For Whom the Egg Yolks,
69,8,5,328,Village,no,3,Royal Spit Take,
70,8,6,329,Village,no,3,A Forest Fracas,
71,8,7,330,Village,no,3,A Forest Fracas,
72,9,0,331,Village,no,3,Royal Honey Hunt,
73,9,1,332,Village,no,3,Current Events,
74,9,2,333,Village,no,3,The Crabbiest Catch,
75,9,3,334,Village,no,3,Pack Woes,
76,9,4,335,Village,no,3,The Fungus Among Us,
77,9,5,336,Village,no,3,Moofah Must-haves,
78,9,6,337,Village,no,3,Deserted Island Accounting,
79,9,7,338,Village,no,3,Sunsnug Isle Rescue!,
80,10,0,339,Village,no,3,Robbed Blind,
81,10,1,340,Village,no,3,Pest Control,
