quest_id,name,rule
101,Find the Ferns,flag:4
102,Due for Dragon Amber,flag:4
103,Medicinal Moths,flag:4
104,Horns o' Plenty,flag:4
105,A Fungal Hunt,cleared:101
106,Wipe Out!,flag:4
107,Another Pack Attack,flag:6
201,Harvest Tour: Jurassic Frontier,flag:12
202,Harvest Tour: Dunes,flag:12
203,Harvest Tour: Verdant Hills,flag:153
204,Harvest Tour: Arctic Ridge,flag:203
205,Harvest Tour: Misty Peaks,flag:253
206,Vaulting Outlaw,flag:9
207,Rambunctious Rhenoplos,flag:12
208,On the Rebound,flag:300
209,A Berry Good Idea,flag:12
210,A Fern is Forever,flag:12
211,Jurassic Frontier Accounting,flag:12
212,Gendrome Roadblock,flag:12
213,The Land Sharq,flag:12
214,Slay the Genprey!,flag:12
215,Hermit Grab,flag:12
216,Birthday Berries,flag:12
217,Liver of Legend!,flag:12
218,Dunes Accounting,flag:12
219,Hunt Down the Velocidrome!,flag:152
220,Slay the Velociprey!,flag:150
221,Bullfango Tango,flag:153
222,Prime Premium Sashimi,flag:153
223,Verdant Hills Accounting,flag:153
224,The Mountain Roughrider,flag:202
225,Slay the Giaprey!,flag:200
226,A Pack of Blangos,flag:203
227,Medicinal Mountain Herbs,flag:203
228,Arctic Ridge Accounting,flag:203
229,Arzuros the Azure Beast,flag:252
230,Bye Bye Jaggia,flag:250
231,Howling Harassment,flag:253
232,Fungal Fad,flag:253
233,Sunsnug Sprout Courier,flag:502
234,Misty Peaks Accounting,flag:253
301,Harvest Tour: Deserted Island,flag:16
302,Harvest Tour: Marshlands,flag:16
303,Tusked Tantrum,flag:16
304,Stomping Grounds,flag:16
305,Chasing Tail,flag:16
306,Jurassic Treasure: The Frog,flag:360
307,Bit by the Fashion Bug,flag:16
308,Tumultuous Sprouts,flag:18
309,Tumultuous Sprouts,flag:18
310,Fishy Favor,flag:312
311,Crustacean Frustration,flag:16
312,The Desert Gourmand,flag:16
313,Konchu Collector,flag:16
314,Cancer of the Dunes,flag:418
315,Deliver the Liver,flag:16
316,Farming Frustrations,flag:16
317,Financial Focus on Fungus,flag:16
318,Local Threat,flag:154
319,Into the Wyvern's Den,flag:156
320,Into the Wyvern's Den,flag:156
321,Snow with Occasional Lagombi,flag:16
322,Anteka Anticipation,flag:16
323,The Shadow in the Mountains,flag:204
324,No Go on the Popo,flag:206
325,No Go on the Popo,flag:206
326,Bully the Bullfango,flag:16
327,For Whom the Egg Yolks,flag:524
328,Royal Spit Take,flag:254
329,A Forest Fracas,flag:256
330,A Forest Fracas,flag:256
331,Royal Honey Hunt,flag:474
332,Current Events,flag:20
333,The Crabbiest Catch,flag:506
334,Pack Woes,flag:16
335,The Fungus Among Us,flag:490
336,Moofah Must-haves,flag:302
337,Deserted Island Accounting,flag:16
338,Sunsnug Isle Rescue!,flag:504
339,Robbed Blind,flag:20
340,Pest Control,flag:16
341,Travelers in Trouble,flag:306
342,Royal Rhinos Gone Wild,flag:16
343,Marshlands Accounting,flag:16
401,Harvest Tour: Volcano,flag:25
402,The Nocturnal Enchanter,flag:22
403,Wyvern of the Wind,cleared:415
404,Jurassic Treasure: The Bug,flag:362
405,Unlock the Secret to...,flag:25
406,A Unique Cuppa,flag:308
407,Hunt-a-thon: Gendrome,flag:316
408,Mining: The Final Frontier,flag:25
409,Wrath of the Rathian,flag:25
410,Noise Violation,cleared:422
411,Hunt-a-thon: Yian Kut-Ku,flag:25
412,Hunt-a-thon: Velocidrome,flag:420
413,The New Tenant,flag:25
414,Lagombi Lair,flag:25
415,Hungry Eyes,flag:25
416,Royal Pains,flag:476
417,Peddling Practice,flag:520
418,Island Menace,flag:482
419,Deviled Legs,flag:25
420,Hunt-a-thon: Daimyo Hermitaur,flag:314
421,Marshlands Mission,cleared:426
422,Serpentine Samba,flag:25
423,Lurkin' in the Murk,flag:25
424,Crustacean Infestation,flag:25
425,Tumbling Troublemaker,flag:25
426,Crustacean Infatuation,flag:25
427,Rocking the Uroktor,flag:25
428,Great Ore Discovery,flag:25
429,Volcano Accounting,flag:25
501,The Dark Age,flag:27
502,Trifecta of Terror,flag:29
503,Garuga of the Hills,flag:29
504,The Thunderclaw Wyvern,flag:158
505,Fungus Fetch,flag:29
506,Two Roars in the Snow,flag:29
507,Hunt-a-thon: Khezu,flag:458
508,The Unwavering Colossus,flag:208
509,Lagiacrus Fuss,flag:478
510,The Entrancing Water Dancer,flag:258
511,The Fisherman's Fiend,flag:29
512,Island Heat,flag:522
513,Double Vision,flag:29
514,Hunt-a-thon: Gypceros,flag:388
