index,kind,stage,npc,village,quest_id,quest_name,prereq_quest,reward_id,reward_count,accept_flag,done_flag
0,0,6,0xe,Bherna,208,On the Rebound,,,,300,301
1,0,7,0xe,Bherna,336,Moofah Must-haves,,,,302,303
2,0,10,0xe,Bherna,629,Advanced: The Goliaths,,,,304,305
3,0,7,0x1,Bherna,341,Travelers in Trouble,,,,306,307
4,0,8,0x1,Bherna,406,A Unique Cuppa,,,,308,309
5,0,20,0x1,Bherna,10651,Woe Malfestio,,,,310,311
6,0,7,0x14,Bherna,310,Fishy Favor,,,,312,313
7,0,8,0x14,Bherna,420,Hunt-a-thon: Daimyo Hermitaur,,,,314,315
8,0,8,0x16,Bherna,407,Hunt-a-thon: Gendrome,,,,316,317
9,0,10,0x16,Bherna,632,Advanced: Nothing is Sacred,,,,318,319
10,0,21,0x16,Bherna,10739,Primal Forest Defense,,,,320,321
11,0,18,0x1b,Bherna,10421,So Notable: Great Maccao,,,,322,323
12,0,19,0x1b,Bherna,10506,So Notable: Kecha Wacha,,,,324,325
13,0,21,0x1b,Bherna,10706,So Notable: Seregios,,,,326,327
14,0,20,0x17,Bherna,10604,Watch Your Steppe,,,,328,329
15,0,21,0x17,Bherna,10723,Putting the Gore in Magala,,,,330,331
16,0,19,0x1a,Bherna,10529,Twin Velocidrome,,,,332,333
17,0,6,0x24,Kokoto,220,Slay the Velociprey!,,,,336,337
18,0,6,0x24,Kokoto,219,Hunt Down the Velocidrome!,,,,338,339
19,0,7,0x24,Kokoto,318,Local Threat,,,,340,341
20,0,7,0x24,Kokoto,319,Into the Wyvern's Den,,0x6fb,2,342,343
21,0,9,0x24,Kokoto,504,The Thunderclaw Wyvern,,0x6fb,5,344,345
22,0,10,0x24,Kokoto,639,Advanced: Wrath of Rath,,,,346,347
23,1,3,0x25,Kokoto,,,,,,348,349
24,0,21,0x34,Kokoto,10726,A Fiery Temper,,,,350,351
25,0,7,0x33,Kokoto,306,Jurassic Treasure: The Frog,,,,360,361
26,0,8,0x33,Kokoto,404,Jurassic Treasure: The Bug,,,,362,363
27,0,10,0x33,Kokoto,623,Advanced: Jurassic Treasure,,,,364,365
28,0,26,0x36,Kokoto,625,Advanced: Invoking Rath,10730,,,372,373
29,0,10,0x38,Kokoto,624,Advanced: Sly Swooper,,,,374,375
30,0,10,0x38,Kokoto,634,Advanced: Invisible Thief,,,,376,377
31,0,18,0x39,Kokoto,10426,Delicious White Livers,,,,378,379
32,0,15,0x1c,Kokoto,10115,Ingredient Hunter,,,,380,381
33,2,4,0x1f,Kokoto,,,,,,382,383
34,0,20,0x1f,Kokoto,10650,The Coal Still Burns,,,,384,385
35,0,20,0x67,Yukumo,10649,Triple Toady Terror,,,,386,387
36,0,9,0x20,Kokoto,514,Hunt-a-thon: Gypceros,,,,388,389
