index,quest_id,quest_name,npc_file,npc_bit,npc_name,talk_kind,talk_line,accept_flag,offer
0,208,On the Rebound,20,14,Reliable Villager,8,0,300,village_star:2
1,336,Moofah Must-haves,20,14,Reliable Villager,8,12,302,village_star:3 AND flag:301
2,629,Advanced: The Goliaths,20,14,Reliable Villager,8,28,304,village_star:6 AND flag:303 AND cleared:10710
3,341,Travelers in Trouble,2,1,Bherna Gal,8,119,306,village_star:3 AND flag:16
4,406,A Unique Cuppa,2,1,Bherna Gal,8,129,308,village_star:4 AND flag:307 AND flag:25
5,10651,Woe Malfestio,2,1,Bherna Gal,8,146,310,flag:309 AND listed:10646
6,310,Fishy Favor,26,20,Cheeko Sands Chief,8,0,312,village_star:3
7,420,Hunt-a-thon: Daimyo Hermitaur,26,20,Cheeko Sands Chief,8,16,314,village_star:4 AND flag:313
8,407,Hunt-a-thon: Gendrome,41,22,Caravaneer,8,5,316,village_star:4
9,632,Advanced: Nothing is Sacred,41,22,Caravaneer,8,19,318,flag:317 AND hr:7
10,10739,Primal Forest Defense,41,22,Caravaneer,8,32,320,flag:319 AND listed:10646
11,10421,So Notable: Great Maccao,46,27,Guildmarm,8,6,322,hub_star:4
12,10506,So Notable: Kecha Wacha,46,27,Guildmarm,8,21,324,hub_star:5 AND flag:323
13,10706,So Notable: Seregios,46,27,Guildmarm,8,31,326,hub_star:7 AND flag:325
14,10604,Watch Your Steppe,42,23,Ace Commander,8,11,328,
15,10723,Putting the Gore in Magala,42,23,Ace Commander,8,22,330,flag:329 AND listed:10646
16,10529,Twin Velocidrome,45,26,Ace Cadet,8,0,332,
17,220,Slay the Velociprey!,101,36,Kokoto Chief,4,0,336,village_star:2 AND notflag:150
18,219,Hunt Down the Velocidrome!,101,36,Kokoto Chief,4,16,338,notflag:152 AND flag:151
19,318,Local Threat,101,36,Kokoto Chief,4,25,340,village_star:3 AND notflag:154 AND flag:153
20,319,Into the Wyvern's Den,101,36,Kokoto Chief,4,35,342,notflag:156 AND flag:155
21,504,The Thunderclaw Wyvern,101,36,Kokoto Chief,4,47,344,village_star:5 AND notflag:158 AND flag:157
22,639,Advanced: Wrath of Rath,101,36,Kokoto Chief,9,70,346,village_star:6 AND feature:22 AND notflag:160 AND points:Kokoto:1500
23,,,102,37,Kokoto Gal,8,65,348,village_star:5
24,10726,A Fiery Temper,127,52,Minegarde Sweetheart,8,4,350,hub_star:7 AND flag:349 AND listed:10646
25,306,Jurassic Treasure: The Frog,126,51,Treshi,8,8,360,village_star:3
26,404,Jurassic Treasure: The Bug,126,51,Treshi,8,19,362,flag:361 AND cleared:425 AND npc_idle:126
27,623,Advanced: Jurassic Treasure,126,51,Treshi,8,31,364,village_star:6 AND hr:7 AND flag:363 AND npc_idle:126
28,625,Advanced: Invoking Rath,129,54,Red Hell Hunter,8,35,372,village_star:6 AND flag:128 AND listed:10646
28,625,Advanced: Invoking Rath,130,55,Black Hell Hunter,8,35,372,village_star:6 AND flag:128 AND listed:10646
29,624,Advanced: Sly Swooper,131,56,Dundorma Guardsman,8,8,374,village_star:6 AND hr:5
30,634,Advanced: Invisible Thief,131,56,Dundorma Guardsman,8,17,376,hr:9 AND flag:375
31,10426,Delicious White Livers,132,57,Cathar Elder,8,0,378,
32,10115,Ingredient Hunter,47,28,Street Cook,8,0,380,village_star:2
33,,,50,31,Lil Miss Forge,8,9,382,hub_star:4
34,10650,The Coal Still Burns,50,31,Lil Miss Forge,8,16,384,flag:383 AND listed:10646
35,10649,Triple Toady Terror,336,103,Harth Chief,8,7,386,village_star:3 AND flag:385 AND listed:10646
36,514,Hunt-a-thon: Gypceros,51,32,Wycoon,8,7,388,village_star:5
37,10305,Fossilized Memories,51,32,Wycoon,8,16,390,hub_star:3 AND flag:389
38,10530,The New Tenant,51,32,Wycoon,8,25,392,hub_star:5 AND flag:391
